customer_id,country,city,address,phone,email
34,France,Marseille,"12, rue des Bouchers",91.24.45.40,laurencelebihan@gmail.com
35,France,Nantes,"67, rue des Cinquante Otages",40.67.88.88,janinelabrune@yahoo.com
36,France,Lille,"184, chaussée de Tournai",20.16.10.16,martinerance@gmail.com
37,France,Nantes,"54, rue Royale",40.32.21.21,carineschmitt@yahoo.com
38,France,Versailles,"67, avenue de l'Europe",30.59.84.10,danieltonini@gmail.com
39,France,Toulouse,1 rue Alsace-Lorraine,61.77.61.10,annetteroulet@earthlink.com
40,France,Paris,"265, boulevard Charonne",(1) 42.34.22.66,mariebertrand@earthlink.com
41,France,Paris,"25, rue Lauriston",(1) 47.55.60.10,dominiqueperrier@yahoo.com
42,France,Lyon,"2, rue du Commerce",78.32.54.86,marysaveley@earthlink.com
43,France,Reims,59 rue de l'Abbaye,26.47.15.10,paulhenriot@gmail.com
44,Germany,Berlin,Obere Str. 57,030-0074321,mariaanders@gmail.com
45,Germany,Mannheim,Forsterstr. 57,0621-08460,hannamoos@gmail.com
46,Germany,Aachen,Walserweg 21,0241-039123,svenottlieb@gmail.com
47,Germany,München,Berliner Platz 43,089-0877310,peterfranken@yahoo.com
48,Germany,Brandenburg,Maubelstr. 90,0555-09876,philipcramer@gmail.com
49,Germany,Frankfurt a.M.,Magazinweg 7,069-0245984,renatemessner@yahoo.com
50,Germany,Leipzig,Heerstr. 22,0342-023176,alexanderfeuer@gmail.com
51,Germany,Köln,Mehrheimerstr. 369,0221-0644327,henriettepfalzheim@gmail.com
52,Germany,Cunewalde,Taucherstraße 10,0372-035188,horstkloss@gmail.com
53,Germany,Münster,Luisenstr. 48,0251-031259,karinjosephs@gmail.com
54,Germany,Stuttgart,Adenauerallee 900,0711-020361,ritamuller@yahoo.com
55,USA,Eugene,2732 Baker Blvd.,(503) 555-7555,howardsnyder@gmail.com
56,USA,Elgin,City Center Plaza 516 Main St.,(503) 555-6874,yoshilatimer@gmail.com
57,USA,Walla Walla,12 Orchestra Terrace,(509) 555-7969,johnsteel@gmail.com
58,USA,San Francisco,87 Polk St. Suite 5,(415) 555-5938,jaimeyorres@gmail.com
59,USA,Portland,89 Chiaroscuro Rd.,(503) 555-9573,franwilson@gmail.com
60,USA,Anchorage,2743 Bering St.,(907) 555-7584,renephillips@gmail.com
61,USA,Albuquerque,2817 Milton Dr.,(505) 555-5939,paulawilson@gmail.com
62,USA,Boise,187 Suffolk Ln.,(208) 555-8097,josepavarotti@gmail.com
63,USA,Lander,P.O. Box 555,(307) 555-4680,artbraunschweiger@earthlink.com
64,USA,Portland,89 Jefferson Way Suite 2,(503) 555-3612,liznixon@gmail.com
65,USA,Butte,55 Grizzly Peak Rd.,(406) 555-5834,liuwong@gmail.com
66,USA,Kirkland,722 DaVinci Blvd.,(206) 555-8257,helvetiusnagy@gmail.com
67,USA,Seattle,305 - 14th Ave. S. Suite 3B,(206) 555-4112,karljablonski@gmail.com
68,Russia,Moscow,"st. Lenina 12, no. 40",79153665684,yromanenko@yandex.ru
69,Russia,Moscow,st. Pushkinsky Boulevard 20a,79035770250,fmosin@mail.ru
70,Russia,Moscow,st. Bunin Alley 17 kv.35,79888331036,gomonovas@yandex.ru
71,Russia,Moscow,"Prospekt Mira 10, apt. 3",79029860559,barchuks@yandex.ru
72,Russia,Saint Petersburg,Peter the Great Street 9,79123471955,polinam@mail.ru
73,Russia,Saint Petersburg,St. Lenina 14,79854362277,ppetrova@yandex.ru
74,Russia,Moscow,"St. Gagarina 19, building 2, apt. 507",79229216488,kasheva_n@mail.ru
75,Russia,Ekaterinburg,St. Moroznaya 14,79881582261,anin.m@yandex.ru
76,Russia,Ekaterinburg,"Pushkina street 14, apt. 19",79851516134,bolotova_ira@yandex.ru
77,Russia,Ekaterinburg,Mira Avenue 25,79991382998,i.komarov@mail.ru
78,Russia,Moscow,"Vernadskogo Avenue 17, apt. 506",79108644030,e.varova@yandex.ru
79,Russia,Moscow,"Pushkina street 41, apt. 400",79196154552,e.voronov@yandex.ru
80,Russia,Moscow,Baseinaya Street 19,79157758973,d.butylin@mail.ru
81,Russia,Moscow,"St. Vodny stadium 15, building 4, apt. 20",79229376544,d.fedorov@yandex.ru
82,Russia,Moscow,Chistoprudnensky Boulevard 4d,79282319287,d_privalova2000@gmail.com
83,Russia,Moscow,"St. Profsoyuznaya 83, building 2",79159566196,virillova-20-20@mail.ru
84,Russia,Saint Petersburg,St. Ozernaya 6,79876655320,a.kamchatkina@yandex.ru
85,Russia,Saint Petersburg,"St. Pobeda 19, apt. 92",79854280929,lobovaaaa@yandex.ru
86,Russia,Saint Petersburg,St. Pobeda 106,79275697828,khrushchev99@mail.ru
87,Russia,Saint Petersburg,"St. Yesenina 17, apt. 29",79175199721,solntsevzenite@yandex.ru
88,Russia,Moscow,"St. Profsoyuznaya 97, building 1, apt. 49",79269565379,morevsky_r@mail.ru
